Taşınmaz Tipi,Açıklama,Oda Sayısı,Metre Karesi,Yaş,Kat,Fiyat,Adres,İlan Tarihi
Daire,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık daire,3 + 1,150 m,20 Yaşında,1. Kat,"560,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",5 Ağustos 2020
Daire,mostar life satılık satılık 5+1 daire,5 + 1,308 m,4 Yaşında,Giriş Katı,"2,750,000","Başakşehir, İkitelli OSB Mahallesi",29 Ağustos 2020
Daire,bahçeşehir uphill court satılık 1+1 daire,1 + 1,72 m,10 Yaşında,13. Kat,"390,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",30 Ağustos 2020
Daire,başakşehir ağaoğlu my world europe 4+1 satılık daire,4 + 1,203 m,9 Yaşında,Villa Katı,"1,400,000","Başakşehir, Ziya Gökalp Mahallesi",2 Eylül 2020
Daire,boğazköyde merkezi ısıtmalı krediye uygun arakat ve balkonlu 3+1,3 + 1,150 m,20 Yaşında,7. Kat,"449,500","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",16 Ağustos 2020
Daire,boğazköyde merkezi ısıtmalı krediye uygun arakat ve balkonlu 2+1,2 + 1,125 m,20 Yaşında,10. Kat,"399,500","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",16 Ağustos 2020
Villa,bahçeşehir toros'ta villa,5 + 2,360 m,12 Yaşında,Villa Katı,"3,950,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",2 Eylül 2020
Daire,boğazköyde cadde üstünde hem işyeri hemde oturmaya uygun lüx 3+1,3 + 1,160 m,15 Yaşında,Yüksek Giriş,"495,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",1 Ağustos 2020
Daire,boğazköyde deprem sonrası yapılmış binada teraslı manzaralı 2+1.,2 + 1,160 m,15 Yaşında,8. Kat,"489,900","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",16 Ağustos 2020
Daire,lüks proje park mavera 1 de yatırımlık 4+1,4 + 1,208 m,2 Yaşında,8. Kat,"2,020,000","Başakşehir, Kayabaşı Mahallesi",20 Eylül 2020
Daire,bahçeşehir maximoonda havuzlu güvenlikli krediye uygun 2+1 daire,2 + 1,80 m,4 Yaşında,8. Kat,"249,900","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",23 Ağustos 2020
Villa,boğazköyde özel yapılmış şömneli saunalı teraslı manzaralı villa,6 + 2,380 m,20 Yaşında,Villa Katı,"1,330,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",19 Ağustos 2020
Residence,"mall of istanbul satılık 1+1,5 88 m2 residence daire",1 + 1,88 m,8 Yaşında,13. Kat,"885,000","Başakşehir, Ziya Gökalp Mahallesi",15 Eylül 2020
Daire,vadişehir bahçeli satılık 3+1 daire,3 + 1,177 m,3 Yaşında,Kot 1,"1,430,000","Başakşehir, Başakşehir Mahallesi",29 Ağustos 2020
Daire,boğazköyde otoparklı mantolamalı iskanlı ve ebeveyn banyolu 3+1.,3 + 1,160 m,20 Yaşında,Yüksek Giriş,"413,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",16 Ağustos 2020
Daire,13. bölge yatırımlık daire,1 + 1,48 m,9 Yaşında,3. Kat,"330,000","Başakşehir, Kayabaşı Mahallesi",9 Eylül 2020
Daire,"başakşehir toki kayaşehir 20.bölge satılık 3+1 daire tapulu,boş",3 + 1,118 m,6 Yaşında,10. Kat,"695,000","Başakşehir, Kayabaşı Mahallesi",19 Ağustos 2020
Daire,boğazköyde güvenlikli otoparklı ebevey banyolu 3+1 giriş dubleks,3 + 1,200 m,20 Yaşında,Yüksek Giriş,"750,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",29 Ağustos 2020
Daire,metrokent satılık 154 m2 boş güney batı cephe uygun fiyat,3 + 1,154 m,10 Yaşında,9. Kat,"1,340,000","Başakşehir, Başak Mahallesi",23 Eylül 2020
Villa,bahçeşehir atmaca sitesinde muhtesem villa,4 + 1,295 m,2 Yaşında,Yüksek Giriş,"3,100,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",17 Eylül 2020
Daire,bahçeşehir 2.kısımda otoparklı sitede balkonlu yüksek giriş 3+1.,3 + 1,150 m,15 Yaşında,2. Kat,"505,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",29 Ağustos 2020
Daire,bahçeşehir boğazköy'de özel tadilatlı olan arakat manzaralı 4+1.,4 + 1,160 m,20 Yaşında,19. Kat,"525,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",26 Ağustos 2020
Daire,düden blokların da manzaralı dubleks daire,4 + 1,220 m,20 Yaşında,9. Kat,"1,689,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",22 Ağustos 2020
Residence,değer yapı'dan mükemmel lokasyonda prim garantili daireler *,3 + 1,165 m,Sıfır Bina,1. Kat,"330,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",29 Eylül 2020
Daire,kayaşehir 24. bölge cadde üstü satılık 3+1 gazi dairesi,3 + 1,120 m,2 Yaşında,10. Kat,"530,000","Başakşehir, Kayabaşı Mahallesi",16 Ağustos 2020
Residence,emr den mall of istanbulda satılık eşyalı stüdyo daire,Stüdyo,53 m,5 Yaşında,5. Kat,"545,000","Başakşehir, İkitelli OSB Mahallesi",27 Ağustos 2020
Bina,başakşehirde satılık apartman,1 + 1,"2,700 m",7 Yaşında,4. Kat,"20,000,000","Başakşehir, Başakşehir Mahallesi",9 Eylül 2020
